"","Species","mean_proportion","min_proportion","max_proportion"
"1","Anchoveta",0.196853761269,0.043112513145,0.3077905982
"2","Anchovy",0.036377371614,0.01411519515,0.10567823345
"3","Blue whiting",0.163450188467,0.13061055862,0.2000757863
"4","Boarfish",0,0,0
"5","Capelin",0.05157892394,0.003514622125,0.082277710265
"6","Cod",0.001724137931,0,0.008620689655
"7","Hake",0,0,0
"8","Herring",0.073208804815,0.026785714285,0.1151159245
"9","Krill",0.0228604063,0,0.0588235294
"10","Mackerel",0.012038626048,0,0.045690087645
"11","Menhaden ",0.071663368557,0.01598154651,0.189250443195
"12","Other",0.021820788141,0,0.05989022339
"13","Pout",0.035114360391,0.00588235294,0.07386551258
"14","Sand eel",0.054664478301,0.04688818721,0.06124721605
"15","Sardinella",0.178930826154,0.1188222923,0.292629784
"16","Silver smelt",0.000280540227,0,0.001402701135
"17","Sprat",0.081032303556,0.059275435025,0.121743697465
